appid,name,price,currency,genres,release_date,steam_review_score
80310,Gemini Rue,16.99,BRL,"Adventure, Indie","26 Oct, 2011",82
80330,The Blackwell Legacy,8.49,BRL,"Adventure, Indie","13 Jan, 2012",80
80360,Blackwell Deception,16.99,BRL,"Adventure, Indie","13 Jan, 2012",73
91100,SkyDrift,32.99,BRL,"Indie, Racing","21 Nov, 2011",73
91110,SkyDrift Demo,,,,"29 Nov, 2011",73
91200,Anomaly: Warzone Earth,2.05,BRL,"Action, Indie, Strategy","8 Apr, 2011",80
91330,Iron Front: Digital War Edition,27.99,BRL,"Action, Simulation, Strategy","25 May, 2012",55
91600,Sanctum,37.19,BRL,"Action, Casual, Indie, Strategy","15 Apr, 2011",70
91610,Sanctum Demo,,,"Action, Strategy, Indie","13 May, 2011",70
91900,Post Apocalyptic Mayhem,19.99,BRL,"Action, Racing","17 Mar, 2011",44
92000,Hydrophobia: Prophecy,10.49,BRL,"Action, Adventure, Indie, Strategy","9 May, 2011",64
92300,A.R.E.S.: Extinction Agenda,10.89,BRL,"Action, Indie","19 Jan, 2011",68
92310,A.R.E.S.: Extinction Agenda Demo,,,,"19 Jan, 2011",68
92600,Xotic,20.69,BRL,"Action, Indie","16 Sep, 2011",67
92700,Shadow Harvest: Phantom Ops,19.99,BRL,Action,"15 Apr, 2011",34
92800,SpaceChem,32.99,BRL,"Indie, Simulation","2 Mar, 2011",84
92810,SpaceChem Demo,,,,"2 Mar, 2011",84
93200,Revenge of the Titans,46.99,BRL,"Action, Indie, Strategy","16 Mar, 2011",79
94200,Jamestown,20.69,BRL,"Action, Indie","8 Jun, 2011",81
94300,The Dream Machine: Chapter 1 & 2,13.79,BRL,"Adventure, Casual, Indie","11 May, 2012",75
94400,Nidhogg,32.99,BRL,"Action, Indie, Sports","13 Jan, 2014",81
94590,Puzzle Agent 2,19.99,BRL,"Action, Adventure, Casual","30 Jun, 2011",63
94620,Hector: Badge of Carnage - Full Series,50.0,BRL,"Adventure, Casual","27 Apr, 2011",75
95300,Capsized,32.99,BRL,"Action, Indie","29 Apr, 2011",80
95310,Capsized Demo,,,,"29 Apr, 2011",80
95400,ibb & obb,23.99,BRL,"Action, Adventure, Indie","26 May, 2014",83
95900,Air Conflicts: Secret Wars,12.39,BRL,"Action, Simulation","15 Jul, 2011",65
96000,The Tiny Bang Story,16.99,BRL,"Adventure, Casual, Indie","22 Apr, 2011",63
